CITY,DISTRICT,GEOCODE,DAYTIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,內湖區,6301000,2019-05-13 00:00:00,24,23,93,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,內湖區,6301000,2019-05-13 03:00:00,23,22,95,偏東風,2,2,25,晴,01,0,10,2019-05-12
臺北市,內湖區,6301000,2019-05-13 06:00:00,23,22,94,東南風,1,<= 1,25,晴,01,10,10,2019-05-12
臺北市,內湖區,6301000,2019-05-13 09:00:00,28,24,82,西北風,0,<= 1,32,多雲,04,10,10,2019-05-12
臺北市,內湖區,6301000,2019-05-13 12:00:00,31,28,80,西北風,0,<= 1,37,午後短暫雷陣雨,15,30,30,2019-05-12
臺北市,內湖區,6301000,2019-05-13 15:00:00,30,26,80,偏西風,1,<= 1,35,多雲,04,30,30,2019-05-12
臺北市,內湖區,6301000,2019-05-13 18:00:00,27,25,86,西南風,1,<= 1,31,晴,01,10,30,2019-05-12
臺北市,內湖區,6301000,2019-05-13 21:00:00,25,24,93,偏南風,1,<= 1,29,晴,01,10,30,2019-05-12
臺北市,士林區,6301100,2019-05-13 00:00:00,24,22,88,偏東風,3,2,26,晴,01,0,10,2019-05-12
臺北市,士林區,6301100,2019-05-13 03:00:00,24,22,91,偏東風,2,2,26,晴,01,0,10,2019-05-12
臺北市,士林區,6301100,2019-05-13 06:00:00,23,22,90,東南風,1,<= 1,25,晴,01,10,10,2019-05-12
臺北市,士林區,6301100,2019-05-13 09:00:00,27,23,76,西北風,1,<= 1,31,多雲,04,10,10,2019-05-12
臺北市,士林區,6301100,2019-05-13 12:00:00,30,24,72,西北風,0,<= 1,34,多雲,04,10,10,2019-05-12
臺北市,士林區,6301100,2019-05-13 15:00:00,29,25,76,偏西風,1,<= 1,34,多雲,04,10,10,2019-05-12
臺北市,士林區,6301100,2019-05-13 18:00:00,27,23,81,西南風,2,<= 1,31,晴,01,10,10,2019-05-12
臺北市,士林區,6301100,2019-05-13 21:00:00,25,23,88,偏南風,1,<= 1,28,晴,01,10,10,2019-05-12
臺北市,北投區,6301200,2019-05-13 00:00:00,25,22,88,偏東風,2,<= 1,27,晴,01,0,10,2019-05-12
臺北市,北投區,6301200,2019-05-13 03:00:00,24,22,90,偏東風,1,<= 1,26,晴,01,0,10,2019-05-12
臺北市,北投區,6301200,2019-05-13 06:00:00,24,21,87,東南風,0,<= 1,26,晴,01,10,10,2019-05-12
臺北市,北投區,6301200,2019-05-13 09:00:00,28,23,75,西北風,0,<= 1,32,多雲,04,10,10,2019-05-12
臺北市,北投區,6301200,2019-05-13 12:00:00,30,24,70,西北風,0,<= 1,35,多雲,04,10,10,2019-05-12
臺北市,北投區,6301200,2019-05-13 15:00:00,30,24,74,偏西風,0,<= 1,34,多雲,04,10,10,2019-05-12
臺北市,北投區,6301200,2019-05-13 18:00:00,27,23,79,西南風,0,<= 1,30,晴,01,10,10,2019-05-12
臺北市,北投區,6301200,2019-05-13 21:00:00,25,22,86,偏南風,1,<= 1,28,晴,01,10,10,2019-05-12
高雄市,鹽埕區,6400100,2019-05-13 00:00:00,27,25,89,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,鹽埕區,6400100,2019-05-13 03:00:00,27,25,93,偏北風,2,<= 1,31,晴,01,0,0,2019-05-12
高雄市,鹽埕區,6400100,2019-05-13 06:00:00,26,24,91,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,鹽埕區,6400100,2019-05-13 09:00:00,28,27,90,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,鹽埕區,6400100,2019-05-13 12:00:00,30,28,89,偏西風,3,2,35,晴,01,0,0,2019-05-12
高雄市,鹽埕區,6400100,2019-05-13 15:00:00,30,27,83,偏西風,3,2,33,晴,01,0,0,2019-05-12
高雄市,鹽埕區,6400100,2019-05-13 18:00:00,28,26,86,西南風,2,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,鹽埕區,6400100,2019-05-13 21:00:00,28,25,88,西南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,鼓山區,6400200,2019-05-13 00:00:00,27,25,89,偏北風,1,<= 1,31,晴,01,0,0,2019-05-12
高雄市,鼓山區,6400200,2019-05-13 03:00:00,27,25,93,偏北風,2,<= 1,31,晴,01,0,0,2019-05-12
高雄市,鼓山區,6400200,2019-05-13 06:00:00,26,24,91,偏北風,1,<= 1,30,晴,01,0,0,2019-05-12
高雄市,鼓山區,6400200,2019-05-13 09:00:00,28,27,90,偏西風,2,2,33,多雲,04,0,0,2019-05-12
高雄市,鼓山區,6400200,2019-05-13 12:00:00,30,28,89,偏西風,3,2,35,晴,01,0,0,2019-05-12
高雄市,鼓山區,6400200,2019-05-13 15:00:00,30,27,83,偏西風,3,2,33,晴,01,0,0,2019-05-12
高雄市,鼓山區,6400200,2019-05-13 18:00:00,28,26,86,西南風,2,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,鼓山區,6400200,2019-05-13 21:00:00,28,25,88,西南風,1,<= 1,32,多雲,04,0,0,2019-05-12
高雄市,左營區,6400300,2019-05-13 00:00:00,27,24,87,東北風,0,<= 1,30,晴,01,0,0,2019-05-12
高雄市,左營區,6400300,2019-05-13 03:00:00,26,24,88,偏北風,2,<= 1,30,晴,01,0,0,2019-05-12
高雄市,左營區,6400300,2019-05-13 06:00:00,26,23,87,偏北風,2,<= 1,29,晴,01,0,0,2019-05-12
